Enterprise,Revenue,Operating Cost,Profit,FY 2023 Actual Headcount,Subtype
Furniture,10000000,8615000,1385000,287,Manufacturing
Metal Products,6500000,6289000,211000,214,Manufacturing
License Plates,20000000,9571000,10429000,120,Manufacturing
General Fabrication,10000000,9563000,437000,122,Manufacturing
Bindery,1700000,1450000,250000,67,Manufacturing
Knitting Mill,1050000,997000,53000,43,Manufacturing
Fabric Products,16000000,12323000,3677000,884,Manufacturing
Shoes,2900000,2772000,128000,89,Manufacturing
Mattresses,4000000,2977000,1023000,33,Manufacturing
Cleaning Products,7125000,4854000,2271000,40,Manufacturing
Modular Construction,3800000,2827000,973000,2,Manufacturing
Meat Cutting,10547000,8720000,1827000,57,Services
Bakery,1503000,895000,608000,46,Services
Coffee Roasting,1515000,1323000,192000,15,Services
Food and Beverage Packaging,27000000,21650000,5350000,265,Services
Metal Signs,2000000,1272000,728000,32,Services
Printing,6000000,4443000,1557000,82,Services
Dental Lab,700000,595000,105000,61,Services
Digital Services,900000,433000,467000,17,Services
Laundry,12800000,10552000,2248000,504,Services
Optical,19000000,16164000,2836000,232,Services
Construction Services and Facility Maintenance,62554000,48356000,14198000,1005,Services
Dairy,13600000,11441000,2159000,54,Agricultural
Crops,1701000,1841000,-140000,5,Agricultural
Poultry,6900000,5893000,1007000,48,Agricultural
Egg Production,8712000,6211000,2501000,14,Agricultural
